Area_sqft,Bedrooms,Bathrooms,Age_years,Distance_to_Metro_km,Parking,Floor,Balconies,Price_Lakhs
1726,2,2,0,14.1,1,10,3,168.54
2059,2,1,4,9.8,1,10,3,185.35
1460,4,4,15,8.0,1,0,3,183.25
1894,4,4,18,10.0,0,0,0,187.83
1730,1,1,3,6.8,1,1,2,158.35
1695,5,5,2,11.1,1,8,3,230.63
2324,5,4,16,1.2,1,2,2,246.23
1644,2,1,16,8.7,1,0,2,131.31
2238,5,5,11,2.8,1,4,0,263.63
721,2,2,13,2.2,1,6,3,106.14
1066,1,1,20,5.5,1,5,1,82.25
1838,4,4,5,1.8,1,0,0,203.37
930,4,4,2,1.9,1,4,1,136.99
2082,4,4,8,5.0,0,4,2,202.06
687,5,5,4,14.7,1,5,2,135.19
1996,1,1,16,3.0,1,2,0,189.91
1723,5,5,13,0.7,0,4,0,184.89
1471,5,4,20,11.6,1,6,1,170.88
2287,1,1,2,12.2,0,4,3,185.02
730,1,1,0,5.5,1,4,1,84.45
2285,1,1,19,7.2,1,4,0,174.37
1932,1,1,20,9.9,1,9,1,147.48
1369,4,4,0,1.2,0,9,0,182.26
943,3,3,2,14.3,1,2,1,104.5
2115,3,2,17,13.4,1,0,0,181.07
2037,1,1,9,4.3,1,4,0,177.62
1405,3,2,2,0.7,1,8,0,166.86
985,3,3,7,14.0,1,0,3,103.28
1815,1,1,13,7.8,1,2,1,144.6
1555,3,3,17,8.3,1,3,1,163.14
876,5,5,14,10.4,0,0,1,125.71
1784,2,2,1,9.4,1,0,0,156.87
1059,2,1,9,14.2,1,7,1,104.82
1937,1,1,1,14.2,0,1,1,166.09
621,4,4,16,13.1,1,7,0,73.69
852,1,1,7,9.7,1,6,2,96.37
1347,4,4,0,12.1,1,9,0,161.72
1456,2,2,8,10.3,1,9,1,154.6
2184,1,1,10,8.8,1,1,0,168.64
1074,5,5,15,2.4,1,5,2,137.79
1682,3,3,6,12.3,1,5,0,150.57
1110,4,4,9,12.4,0,2,1,129.73
2305,3,3,2,9.6,1,10,2,238.39
2099,3,3,17,12.4,1,1,3,179.47
1299,1,1,12,9.9,0,0,1,110.04
1575,3,2,6,3.5,1,5,2,154.34
2406,5,5,3,4.5,1,4,2,267.41
789,3,3,12,3.6,1,10,3,107.04
1557,1,1,19,6.0,1,8,0,125.65
1286,5,4,0,1.1,1,0,0,179.37
1557,2,1,7,9.5,1,6,1,138.7
1162,3,3,13,5.4,0,4,3,127.94
2499,1,1,15,10.0,1,4,0,209.8
2190,2,1,13,6.1,1,1,3,186.08
1867,2,2,11,10.4,0,10,0,178.35
1431,4,4,18,5.4,1,2,2,148.27
2128,5,5,14,4.3,0,6,0,234.31
1754,3,3,1,7.7,0,5,3,205.2
2108,1,1,1,10.5,0,1,2,147.79
2442,4,3,18,5.6,0,5,2,220.39
1246,5,5,16,14.1,1,1,2,155.82
620,4,4,19,1.1,1,1,3,104.71
1440,5,5,9,6.6,1,1,1,184.85
766,5,4,5,14.5,1,10,1,120.95
1897,3,2,14,8.4,1,2,1,177.71
987,5,4,10,6.6,1,1,3,142.46
1200,4,3,4,8.7,0,3,2,159.16
915,5,5,0,8.9,1,8,1,158.93
613,3,3,7,11.1,0,5,3,94.68
841,3,3,20,2.4,1,0,1,97.53
1376,4,3,11,4.1,0,7,0,152.5
1969,2,2,11,8.9,1,6,1,176.23
1164,2,2,4,13.1,1,9,1,130.78
1497,5,5,6,8.6,0,2,2,177.12
1963,1,1,3,4.0,0,0,3,178.4
691,5,5,5,10.4,1,4,2,153.43
1990,4,4,12,11.2,0,3,2,207.3
1555,4,4,19,4.0,1,9,2,176.61
2078,4,4,14,6.0,0,7,2,228.26
2051,4,4,2,8.2,0,0,2,208.43
1108,4,4,7,7.7,1,9,1,128.19
1375,3,2,19,6.1,1,0,2,122.98
634,2,2,15,4.8,0,3,2,53.0
805,4,4,12,1.9,0,7,3,124.51
1704,1,1,17,1.3,0,4,0,143.17
2185,1,1,9,14.4,1,1,1,192.69
2495,1,1,18,12.8,1,5,1,197.05
2011,1,1,16,5.6,1,4,1,166.0
1625,3,3,18,14.4,1,1,2,158.63
1621,1,1,4,10.3,0,10,2,122.19
2013,4,4,20,7.5,1,10,2,212.55
1165,5,5,8,7.6,1,10,3,183.43
1729,1,1,11,1.7,0,2,0,130.68
2395,3,2,20,1.8,1,8,2,240.25
2445,3,3,0,9.2,1,6,0,243.84
2100,1,1,0,8.5,1,6,3,189.97
1302,5,5,14,3.6,1,10,1,187.44
1001,1,1,1,14.2,1,5,2,126.92
1329,3,3,15,11.8,1,7,0,139.06
2179,2,2,7,2.1,1,3,0,209.15
